surface_id,area,locations,match_or_surface,current_classification,wo_052_action,risk,validation_query
ask-api,api,"apps/api/src/revenueos/ask_services.py; apps/api/src/revenueos/routes/ask.py","Safe messages; limits; provenance labels; route summaries",CUSTOMER-FACING,"Replace display brand only; retain route paths and internal ask identifiers unless separately approved",critical,"rg -n 'Ask RevenueOS|RevenueOS Daily|RevenueOS' apps/api/src/revenueos/ask_services.py apps/api/src/revenueos/routes/ask.py"
brand-bound-modules,mixed,"apps/web/components/{revenueos-daily,prospect-find,prospect-module-settings,prospect-target-market,engage-settings,contact-outreach-workspace,create-studio,create-module-settings}.tsx; matching API services","RevenueOS Daily / Prospect / Engage / Create",CUSTOMER-FACING,"Mechanically change approved brand-bound compounds; preserve module names and capability truth",high,"rg -n 'RevenueOS (Daily|Prospect|Engage|Create)' apps/web apps/api/src --glob '!**/*.test.*'"
general-web-copy,web,"apps/web/components/**/*.tsx; apps/web/lib/api.ts","Customer guidance and safe client errors containing RevenueOS",CUSTOMER-FACING,"Review in context; replace brand without weakening privacy/provider truth",high,"rg -n 'RevenueOS|Revenue OS' apps/web/components apps/web/lib --glob '!**/*.test.*'"
api-public-messages,api,"apps/api/src/revenueos/**/*services.py; dependency and provider adapters","Safe API errors/status/messages containing RevenueOS",CUSTOMER-FACING-CANDIDATES,"Replace only messages returned to customers; retain logger/import/internal identifiers",high,"rg -n 'RevenueOS|Revenue OS' apps/api/src/revenueos --glob '*services.py' --glob '*dependencies.py' --glob '*provider.py'"
openapi,api,apps/api/src/revenueos/main.py,"RevenueOS AI API title and description",PUBLIC-DEVELOPER-SURFACE,"Decide Oryntela public API title; retain Python package name",high,"rg -n 'RevenueOS|title=|description=' apps/api/src/revenueos/main.py"
default-pipeline,api,apps/api/src/revenueos/pipeline_repositories.py,"RevenueOS Sales Pipeline seeded/default display name",CUSTOMER-FACING-PERSISTED,"Decide new default and safe treatment for existing rows; migration may be required",critical,"rg -n 'RevenueOS Sales Pipeline' apps/api/src apps/api/tests apps/web"
pptx-core-properties,generated-document,apps/api/src/revenueos/create_pptx.py,"PowerPoint author and last_modified_by are RevenueOS",CUSTOMER-FACING-METADATA,"Use approved Oryntela document metadata; add package-level regression tests",critical,"rg -n 'RevenueOS|core_properties' apps/api/src/revenueos/create_pptx.py"
pptx-labels-filenames,generated-document,apps/api/src/revenueos/create_services.py,"RevenueOS Account/Opportunity source labels; RevenueOS presentation fallback filename",CUSTOMER-FACING,"Replace approved display labels and fallback names; preserve evidence semantics",critical,"rg -n 'RevenueOS|file_name|sourceLabel' apps/api/src/revenueos/create_services.py"
create-download,web,apps/web/components/create-presentation-review.tsx,"RevenueOS generation guidance; server-provided filename",CUSTOMER-FACING,"Replace display copy; verify approved filename flows end-to-end",high,"rg -n 'RevenueOS|download|fileName' apps/web/components/create-presentation-review.tsx"
export-filename,api,apps/api/src/revenueos/beta_services.py,"revenueos-export-{id}.json path/filename validation",CUSTOMER-FACING-AND-TECHNICAL,"Design backward-compatible download naming; do not casually rename storage paths",critical,"rg -n 'revenueos-export|export' apps/api/src/revenueos/beta_services.py apps/api/tests"
public-deal-room,public-web,"apps/web/app/deal-room/page.tsx; apps/web/components/public-deal-room.tsx; apps/api/src/revenueos/deal_room_services.py","Seller-company-led page; secure footer; metadata; PPTX downloads",CUSTOMER-FACING,"Apply approved type/colour/mark and favicon while preserving seller identity and read-only security copy",critical,"rg -n 'Deal Room|sellerCompanyName|footer|download|Metadata' apps/web/app/deal-room apps/web/components/public-deal-room.tsx apps/api/src/revenueos/deal_room_services.py"
closed-won-handover,web,"apps/web/components/closed-won-handover.tsx; apps/api/src/revenueos/handover_services.py","Internal handover UI and generated content",CUSTOMER-FACING-INTERNAL,"Apply approved brand and retain authority/source truth",high,"rg -n 'RevenueOS|Handover|authority' apps/web/components/closed-won-handover.tsx apps/api/src/revenueos/handover_services.py"
email-outreach,mixed,"apps/web/components/contact-outreach-workspace.tsx; apps/web/components/campaign-workspace.tsx; apps/api/src/revenueos/outreach_services.py; apps/api/src/revenueos/campaign_services.py","RevenueOS Engage copy and future system/sender presentation",CUSTOMER-FACING,"Replace product display name; keep kevin@/hello@/support@ mailboxes and provider activation unchanged",critical,"rg -n 'RevenueOS|sender|From:|email' apps/web/components/contact-outreach-workspace.tsx apps/web/components/campaign-workspace.tsx apps/api/src/revenueos/outreach_services.py apps/api/src/revenueos/campaign_services.py"
commercial-surfaces,web,"apps/web/components/settings-experience.tsx; billing-subscription-settings.tsx; commercial-plan-settings.tsx; credits-settings.tsx","Plans trial billing Credits and legal-entity presentation",CUSTOMER-FACING,"Apply brand tokens; retain Management Services Australia Pty. Ltd. and ABN facts; preserve semantic warnings",critical,"rg -n 'Oryntela|RevenueOS|Management Services Australia|ABN|trial|billing|Credits' apps/web/components/settings-experience.tsx apps/web/components/billing-subscription-settings.tsx apps/web/components/commercial-plan-settings.tsx apps/web/components/credits-settings.tsx"
favicon-icons-social,web,apps/web/app,"No committed favicon app icon manifest or OpenGraph image found",MISSING-CUSTOMER-FACING-ASSET,"Add only approved variants after owner selection; test 16/32/48px and light/dark",high,"find apps/web -type f \( -iname 'favicon*' -o -iname 'icon.*' -o -iname '*logo*' -o -iname 'manifest.*' -o -iname '*opengraph*' \) -print"
typography-theme,web,"apps/web/app/globals.css; Tailwind utility usage","Arial/Helvetica; light-only; teal/slate direct utilities",CUSTOMER-FACING-SYSTEM,"Introduce approved local font and explicit brand/semantic/chart tokens; do not imply product dark mode",critical,"rg -n 'font-family|next/font|dark:|teal-|slate-' apps/web/app apps/web/components --glob '!**/*.test.*'"
historical-screenshots,documentation,docs/07-sprints/assets,"RevenueOS UI screenshots and synthetic fixtures",HISTORICAL-DOCUMENTATION,"Retain as work-order evidence; create new synthetic Oryntela screenshots only after WO-052",low,"find docs/07-sprints/assets -type f \( -iname '*.png' -o -iname '*.jpg' \) -print"
internal-packages,technical,"package.json; apps/web/package.json; packages/shared/package.json; apps/api/src/revenueos","revenueos package/module names and imports",INTERNAL-TECHNICAL,"Retain by default to avoid technical migration risk",critical,"rg -n '@revenueos|from revenueos|import revenueos|name.*revenueos' package.json apps packages"
database-contracts,technical,"apps/api/alembic; apps/api/src/revenueos/models.py; packages/shared/src/index.ts","revenueos SQL functions enums fields and schema identifiers",INTERNAL-TECHNICAL-CONTRACT,"Retain unless a separately approved compatibility migration proves value",critical,"rg -n -i 'revenueos' apps/api/alembic apps/api/src/revenueos/models.py packages/shared/src/index.ts"
environment-logs-paths,technical,".env.example; infra; apps/api/src/revenueos/config.py; logger declarations; storage/export paths","RevenueOS environment logger path and storage identifiers",INTERNAL-TECHNICAL,"Retain by default; never rename secrets/config/storage keys via global replacement",critical,"rg -n -i 'revenueos' .env.example infra apps/api/src/revenueos/config.py apps/api/src --glob '*.py'"
legal-records,documentation,"docs/00-company/oryntela-owner-register.md; trademark documents; billing legal copy","ORYNTELA business name; holder; ABN; domains; mailboxes; no clearance",LEGAL-FACT,"Preserve exactly; do not claim trade-mark clearance or alter mailbox architecture",critical,"rg -n 'ORYNTELA|Management Services Australia|15 113 119 556|oryntela.com|@oryntela.com.au|clearance' docs/00-company apps/web/components/billing-subscription-settings.tsx"
